year,round,raceId,race_name,circuit_name,driverId,driver_name,constructorId,constructor_name,grid,position,positionOrder,milliseconds,points,status
2022,1,1074,Bahrain Grand Prix,Bahrain International Circuit,832,Carlos Sainz,6,Ferrari,3,2,2,5859182,18.0,Finished
2022,1,1074,Bahrain Grand Prix,Bahrain International Circuit,848,Alexander Albon,3,Williams,14,13,13,5907516,0.0,Finished
2022,2,1075,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,832,Carlos Sainz,6,Ferrari,3,3,3,5067390,15.0,Finished
2022,2,1075,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,848,Alexander Albon,3,Williams,16,14,14,\N,0.0,Collision damage
2022,3,1076,Australian Grand Prix,Albert Park Grand Prix Circuit,848,Alexander Albon,3,Williams,20,10,10,5345930,1.0,Finished
2022,3,1076,Australian Grand Prix,Albert Park Grand Prix Circuit,832,Carlos Sainz,6,Ferrari,9,\N,20,\N,0.0,Spun off
2022,4,1077,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,848,Alexander Albon,3,Williams,18,11,11,\N,0.0,+1 Lap
2022,4,1077,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,832,Carlos Sainz,6,Ferrari,4,\N,20,\N,0.0,Collision
2022,5,1078,Miami Grand Prix,Miami International Autodrome,832,Carlos Sainz,6,Ferrari,2,3,3,5672487,15.0,Finished
2022,5,1078,Miami Grand Prix,Miami International Autodrome,848,Alexander Albon,3,Williams,18,9,9,5696623,2.0,Finished
2022,6,1079,Spanish Grand Prix,Circuit de Barcelona-Catalunya,832,Carlos Sainz,6,Ferrari,3,4,4,5885683,12.0,Finished
2022,6,1079,Spanish Grand Prix,Circuit de Barcelona-Catalunya,848,Alexander Albon,3,Williams,18,18,18,\N,0.0,+2 Laps
2022,7,1080,Monaco Grand Prix,Circuit de Monaco,832,Carlos Sainz,6,Ferrari,2,2,2,6991419,18.0,Finished
2022,7,1080,Monaco Grand Prix,Circuit de Monaco,848,Alexander Albon,3,Williams,16,\N,18,\N,0.0,Mechanical
2022,8,1081,Azerbaijan Grand Prix,Baku City Circuit,848,Alexander Albon,3,Williams,17,12,12,\N,0.0,+1 Lap
2022,8,1081,Azerbaijan Grand Prix,Baku City Circuit,832,Carlos Sainz,6,Ferrari,4,\N,20,\N,0.0,Hydraulics
2022,9,1082,Canadian Grand Prix,Circuit Gilles Villeneuve,832,Carlos Sainz,6,Ferrari,3,2,2,5782750,19.0,Finished
2022,9,1082,Canadian Grand Prix,Circuit Gilles Villeneuve,848,Alexander Albon,3,Williams,12,13,13,5826650,0.0,Finished
2022,10,1083,British Grand Prix,Silverstone Circuit,832,Carlos Sainz,6,Ferrari,1,1,1,8270311,25.0,Finished
2022,10,1083,British Grand Prix,Silverstone Circuit,848,Alexander Albon,3,Williams,16,\N,20,\N,0.0,Collision
2022,11,1084,Austrian Grand Prix,Red Bull Ring,848,Alexander Albon,3,Williams,15,12,12,\N,0.0,+1 Lap
2022,11,1084,Austrian Grand Prix,Red Bull Ring,832,Carlos Sainz,6,Ferrari,3,\N,18,\N,0.0,Power Unit
